"","Column","Row","TreeVarietyName","TreePlantDate"
"1","C",1,"Bouche de Betizac",2017-05-12
"2","C",15,"Bouche de Betizac",2017-05-12
"3","C",50,"Bouche de Betizac",2017-05-12
"4","C",62,"Bouche de Betizac",2017-05-12
"5","C",66,"Bouche de Betizac",2017-05-12
"6","G",1,"Bouche de Betizac",2017-05-12
"7","G",59,"Bouche de Betizac",2017-05-12
"8","G",95,"Bouche de Betizac",2017-05-12
"9","G",96,"Bouche de Betizac",2017-05-12
"10","G",97,"Bouche de Betizac",2017-05-12
"11","G",100,"Bouche de Betizac",2017-05-12
"12","G",101,"Bouche de Betizac",2017-05-12
"13","G",118,"Bouche de Betizac",2017-05-12
"14","K",5,"Bouche de Betizac",2017-05-12
"15","K",73,"Bouche de Betizac",2017-05-12
"16","K",79,"Bouche de Betizac",2017-05-12
"17","K",80,"Bouche de Betizac",2017-05-12
"18","K",83,"Bouche de Betizac",2017-05-12
"19","K",84,"Bouche de Betizac",2017-05-12
"20","K",87,"Bouche de Betizac",2017-05-12
"21","K",95,"Bouche de Betizac",2017-05-12
"22","K",98,"Bouche de Betizac",2017-05-12
"23","K",102,"Bouche de Betizac",2017-05-12
"24","K",104,"Bouche de Betizac",2017-05-12
"25","K",113,"Bouche de Betizac",2017-05-12
"26","K",115,"Bouche de Betizac",2017-05-12
"27","K",117,"Bouche de Betizac",2017-05-12
"28","K",119,"Bouche de Betizac",2017-05-12
"29","K",120,"Bouche de Betizac",2017-05-12
"30","O",9,"Bouche de Betizac",2017-05-12
"31","O",13,"Bouche de Betizac",2017-05-12
"32","O",38,"Bouche de Betizac",2017-05-12
"33","O",45,"Bouche de Betizac",2017-05-12
"34","O",52,"Bouche de Betizac",2017-05-12
"35","O",58,"Bouche de Betizac",2017-05-12
"36","O",71,"Bouche de Betizac",2017-05-12
"37","O",78,"Bouche de Betizac",2017-05-12
"38","O",88,"Bouche de Betizac",2017-05-12
"39","O",104,"Bouche de Betizac",2017-05-12
"40","O",117,"Bouche de Betizac",2017-05-12
"41","Q",10,"Bouche de Betizac",2017-05-12
"42","Q",12,"Bouche de Betizac",2017-05-12
"43","Q",19,"Bouche de Betizac",2017-05-12
"44","Q",20,"Bouche de Betizac",2017-05-12
"45","Q",29,"Bouche de Betizac",2017-05-12
"46","Q",35,"Bouche de Betizac",2017-05-12
"47","Q",51,"Bouche de Betizac",2017-05-12
"48","Q",57,"Bouche de Betizac",2017-05-12
"49","Q",62,"Bouche de Betizac",2017-05-12
"50","Q",63,"Bouche de Betizac",2017-05-12
"51","Q",67,"Bouche de Betizac",2017-05-12
"52","Q",71,"Bouche de Betizac",2017-05-12
"53","Q",83,"Bouche de Betizac",2017-05-12
"54","Q",102,"Bouche de Betizac",2017-05-12
"55","Q",108,"Bouche de Betizac",2017-05-12
"56","Q",114,"Bouche de Betizac",2017-05-12
