"","Column","Row","TreeVarietyName","TreeDeath"
"1","Q",1,"Bouche de Betizac",0
"2","Q",2,"Bouche de Betizac",0
"3","Q",3,"Bouche de Betizac",0
"4","Q",4,"Bouche de Betizac",0
"5","Q",5,"Bouche de Betizac",0
"6","Q",6,"Bouche de Betizac",0
"7","Q",7,"Bouche de Betizac",0
"8","Q",8,"Bouche de Betizac",0
"9","Q",9,"Bouche de Betizac",0
"10","Q",11,"Bouche de Betizac",0
"11","Q",13,"Bouche de Betizac",0
"12","Q",14,"Bouche de Betizac",0
"13","Q",15,"Bouche de Betizac",0
"14","Q",16,"Bouche de Betizac",0
"15","Q",17,"Bouche de Betizac",0
"16","Q",18,"Bouche de Betizac",0
"17","Q",19,"Bouche de Betizac",0
"18","Q",21,"Bouche de Betizac",0
"19","Q",22,"Bouche de Betizac",0
"20","Q",23,"Bouche de Betizac",0
"21","Q",24,"Bouche de Betizac",0
"22","Q",25,"Bouche de Betizac",0
"23","Q",26,"Bouche de Betizac",0
"24","Q",27,"Bouche de Betizac",0
"25","Q",28,"Bouche de Betizac",0
"26","Q",30,"Bouche de Betizac",0
"27","Q",31,"Bouche de Betizac",0
"28","Q",32,"Bouche de Betizac",0
"29","Q",33,"Bouche de Betizac",0
"30","Q",34,"Bouche de Betizac",0
"31","Q",35,"Bouche de Betizac",0
"32","Q",36,"Bouche de Betizac",0
"33","Q",37,"Bouche de Betizac",0
"34","Q",38,"Bouche de Betizac",0
"35","Q",39,"Bouche de Betizac",0
"36","Q",40,"Bouche de Betizac",0
"37","Q",41,"Bouche de Betizac",0
"38","Q",42,"Bouche de Betizac",0
"39","Q",43,"Bouche de Betizac",0
"40","Q",44,"Bouche de Betizac",0
"41","Q",45,"Bouche de Betizac",0
"42","Q",46,"Bouche de Betizac",0
"43","Q",47,"Bouche de Betizac",0
"44","Q",48,"Bouche de Betizac",0
"45","Q",49,"Bouche de Betizac",0
"46","Q",50,"Bouche de Betizac",0
"47","Q",51,"Bouche de Betizac",0
"48","Q",52,"Bouche de Betizac",0
"49","Q",53,"Bouche de Betizac",0
"50","Q",54,"Bouche de Betizac",0
"51","Q",55,"Bouche de Betizac",0
"52","Q",56,"Bouche de Betizac",0
"53","Q",57,"Bouche de Betizac",0
"54","Q",58,"Bouche de Betizac",0
"55","Q",59,"Bouche de Betizac",0
"56","Q",60,"Bouche de Betizac",0
"57","Q",61,"Bouche de Betizac",0
"58","Q",64,"Bouche de Betizac",0
"59","Q",65,"Bouche de Betizac",0
"60","Q",66,"Bouche de Betizac",0
"61","Q",68,"Bouche de Betizac",0
"62","Q",69,"Bouche de Betizac",0
"63","Q",70,"Bouche de Betizac",0
"64","Q",71,"Bouche de Betizac",0
"65","Q",72,"Bouche de Betizac",0
"66","Q",73,"Bouche de Betizac",0
"67","Q",74,"Bouche de Betizac",0
"68","Q",75,"Bouche de Betizac",0
"69","Q",76,"Bouche de Betizac",0
"70","Q",77,"Bouche de Betizac",0
"71","Q",78,"Bouche de Betizac",0
"72","Q",79,"Bouche de Betizac",0
"73","Q",80,"Bouche de Betizac",0
"74","Q",81,"Bouche de Betizac",0
"75","Q",82,"Bouche de Betizac",0
"76","Q",83,"Bouche de Betizac",0
"77","Q",84,"Bouche de Betizac",0
"78","Q",85,"Bouche de Betizac",0
"79","Q",86,"Bouche de Betizac",0
"80","Q",87,"Bouche de Betizac",0
"81","Q",88,"Bouche de Betizac",0
"82","Q",89,"Bouche de Betizac",0
"83","Q",90,"Bouche de Betizac",0
"84","Q",91,"Bouche de Betizac",0
"85","Q",92,"Bouche de Betizac",0
"86","Q",93,"Bouche de Betizac",0
"87","Q",94,"Bouche de Betizac",0
"88","Q",95,"Bouche de Betizac",0
"89","Q",96,"Bouche de Betizac",0
"90","Q",97,"Bouche de Betizac",0
"91","Q",98,"Bouche de Betizac",0
"92","Q",99,"Bouche de Betizac",0
"93","Q",100,"Bouche de Betizac",0
"94","Q",101,"Bouche de Betizac",0
"95","Q",102,"Bouche de Betizac",0
"96","Q",103,"Bouche de Betizac",0
"97","Q",104,"Bouche de Betizac",0
"98","Q",105,"Bouche de Betizac",0
"99","Q",106,"Bouche de Betizac",0
"100","Q",107,"Bouche de Betizac",0
"101","Q",108,"Bouche de Betizac",0
"102","Q",109,"Bouche de Betizac",0
"103","Q",110,"Bouche de Betizac",0
"104","Q",111,"Bouche de Betizac",0
"105","Q",112,"Bouche de Betizac",0
"106","Q",113,"Bouche de Betizac",0
"107","Q",114,"Bouche de Betizac",0
"108","Q",115,"Bouche de Betizac",0
"109","Q",116,"Bouche de Betizac",0
"110","Q",117,"Bouche de Betizac",0
"111","Q",118,"Bouche de Betizac",0
"112","Q",119,"Bouche de Betizac",0
"113","Q",10,"Bouche de Betizac",1
"114","Q",12,"Bouche de Betizac",1
"115","Q",22,"Bouche de Betizac",1
"116","Q",29,"Bouche de Betizac",1
"117","Q",62,"Bouche de Betizac",1
"118","Q",63,"Bouche de Betizac",1
"119","Q",67,"Bouche de Betizac",1
